                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,0.83019,0.55545,0.95752,0.92278,0.90534,0.96253,0.82143,0.67986,0.4108,0.8969,0.00041666,0.00041666,0.00041666
1,0.75799,0.45041,0.93159,0.94609,0.93359,0.97954,0.85258,0.64184,0.36088,0.88019,0.00066833,0.00066833,0.00066833
2,0.71843,0.40514,0.91474,0.95436,0.94953,0.98523,0.86548,0.62308,0.33094,0.87113,0.00075499,0.00075499,0.00075499
3,0.68251,0.36558,0.90153,0.96388,0.95436,0.98827,0.87533,0.60828,0.3091,0.86538,0.0005075,0.0005075,0.0005075
4,0.66796,0.35258,0.89482,0.96794,0.95927,0.98986,0.88107,0.59806,0.29643,0.8613,0.0005075,0.0005075,0.0005075
