                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.5104,                 1.4788,                 1.1382,                0.76496,                0.84271,                0.85608,                0.79236,                0.30922,                0.50352,                  1.002,             0.00033299,             0.00033299,             0.00033299
                      1,                0.36811,                0.57232,                0.99778,                0.80231,                0.86442,                 0.9028,                0.84122,                0.29228,                0.42414,                0.97528,             0.00059137,             0.00059137,             0.00059137
                      2,                0.35719,                0.49121,                  0.987,                0.84762,                0.90389,                0.93449,                0.88388,                0.29155,                0.38551,                 0.9688,             0.00077474,             0.00077474,             0.00077474
                      3,                0.34553,                0.44022,                0.97428,                0.94212,                0.90552,                0.96606,                0.92319,                0.28281,                0.31165,                0.95705,              0.0006625,              0.0006625,              0.0006625
                      4,                0.33493,                0.41407,                0.96587,                0.91399,                0.85857,                0.94264,                0.90436,                0.27306,                0.34893,                0.94422,              0.0006625,              0.0006625,              0.0006625
                      5,                0.32232,                0.37777,                0.95323,                0.93764,                0.91309,                0.96244,                0.92134,                 0.2609,                0.28676,                0.93244,                0.00055,                0.00055,                0.00055
                      6,                0.30789,                0.34711,                0.94855,                0.89746,                0.95725,                0.96971,                0.93208,                 0.2659,                0.28682,                0.93692,              0.0004375,              0.0004375,              0.0004375
                      7,                0.29531,                0.32126,                0.93692,                0.93468,                0.94118,                0.97002,                0.94324,                0.23922,                0.25601,                0.91247,               0.000325,               0.000325,               0.000325
